taxon,term,estimate,std.error,conf.low,conf.high,statistic,p.value
Birds,(Intercept),2.0311659755575526,0.020818442393507382,1.9903572686977442,2.0719746824173613,97.56570338763717,0
Birds,relative_time_compare,-0.004447570670497544,0.011886835120315001,-0.027774928902618443,0.018879787561623354,-0.37415936416048173,0.7083688815145561
Birds,dataset_compareFirst species,0.026978016789315655,0.006200200913115984,0.014825720501838693,0.039130313076792614,4.351152029968257,1.3553869900059422e-5
Birds,log_n_compare,0.030800259103155203,0.007205831928163738,0.016676302767630078,0.04492421543868033,4.274351582191847,1.925093722429331e-5
Birds,relative_time_compare:dataset_compareFirst species,-0.11306227879756431,0.008163006761695657,-0.12906150393106122,-0.0970630536640674,-13.850567823623669,1.277876419793425e-43
Butterflies,(Intercept),0.689600935594751,0.006392442073571871,0.6770698792596912,0.7021319919298108,107.87754158082286,0
Butterflies,relative_time_compare,-0.002192853777176293,0.0026718450232484955,-0.007436628261196988,0.0030509207068444024,-0.8207264111861425,0.4120195284029319
Butterflies,dataset_compareFirst species,0.011268085037764521,0.0027876112348894206,0.005804228255392008,0.016731941820137035,4.042201041786053,5.309507688605945e-5
Butterflies,log_n_compare,0.014812752663111472,0.0024244228126667653,0.010060410447362526,0.01956509487886042,6.109805841505861,1.0337591537519034e-9
Butterflies,relative_time_compare:dataset_compareFirst species,-0.054962898582327196,0.003005906228343472,-0.0608543806100396,-0.04907141655461479,-18.284967795757474,1.1524793333829965e-74
